순,이름,팀/포지션,정렬용,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살상황,병살%,희번,희번실패,희번%,<2&3B_N,<2&3B_%,0&2B_N,0&2_%,ADV_N,ADV_%
138,페냐,23한, 69.8 , 32 , 177.1 , 3.60 , 1.17 , 31.4 , 69.8 , 11 , 113 , 9.7 , 10 , 5 , 66.7 , 26 , 74.3 , 6 , 40.0 , 51 , 23.6 
139,김기중,23한, 69.7 , 37 , 56.1 , 4.63 , 1.54 , 30.2 , 69.7 , 6 , 56 , 10.7 , 5 , 1 , 83.3 , 9 , 52.9 , 3 , 42.9 , 20 , 18.2 
140,문승원,23S, 69.7 , 50 , 105.0 , 5.23 , 1.65 , 34.1 , 69.7 , 17 , 108 , 15.7 , 4 , 3 , 57.1 , 17 , 53.1 , 9 , 56.3 , 47 , 23.3 
141,이명종,23키, 69.7 , 45 , 57.0 , 5.21 , 1.58 , 34.4 , 69.7 , 6 , 69 , 8.7 , 5 , 3 , 62.5 , 19 , 65.5 , 5 , 45.5 , 25 , 20.7 
142,최원태,23키L, 69.7 , 26 , 146.2 , 4.30 , 1.33 , 34.7 , 69.7 , 6 , 128 , 4.7 , 10 , 7 , 58.8 , 31 , 81.6 , 5 , 45.5 , 53 , 23.1 
143,김유신,23K, 69.5 , 27 , 30.1 , 5.64 , 1.75 , 33.9 , 69.5 , 5 , 37 , 13.5 , 1 , 1 , 50.0 , 5 , 71.4 , 2 , 40.0 , 15 , 24.2 
144,김상수,23롯, 69.5 , 66 , 52.0 , 3.12 , 1.27 , 26.1 , 69.5 , 7 , 61 , 11.5 , 3 , 2 , 60.0 , 5 , 45.5 , 1 , 20.0 , 19 , 17.1 
145,엄상백,23K, 69.3 , 20 , 111.2 , 3.63 , 1.16 , 34.4 , 69.3 , 7 , 75 , 9.3 , 4 , 4 , 50.0 , 13 , 54.2 , 1 , 20.0 , 36 , 22.5 
146,장재영,23키, 69.3 , 23 , 71.2 , 5.53 , 1.80 , 32.1 , 69.3 , 11 , 95 , 11.6 , 2 , 1 , 66.7 , 14 , 73.7 , 8 , 50.0 , 43 , 25.6 
147,이용찬,23N, 69.1 , 60 , 61.0 , 4.13 , 1.18 , 37.3 , 69.1 , 3 , 49 , 6.1 , 4 , 0 , 100.0 , 9 , 69.2 , 5 , 71.4 , 21 , 25.9 
148,고효준,23S, 69.0 , 73 , 58.0 , 4.50 , 1.57 , 30.9 , 69.0 , 5 , 62 , 8.1 , 3 , 5 , 37.5 , 9 , 56.3 , 1 , 16.7 , 26 , 21.5 
149,하준호,23K, 69.0 , 12 , 13.0 , 4.85 , 1.85 , 24.1 , 69.0 , 4 , 20 , 20.0 , 4 , 0 , 100.0 , 6 , 75.0 , 0 ,  , 6 , 18.2 
150,최원준,23두, 68.9 , 26 , 107.2 , 4.93 , 1.37 , 37.1 , 68.9 , 6 , 89 , 6.7 , 8 , 2 , 80.0 , 18 , 64.3 , 9 , 56.3 , 40 , 24.1 
151,조성훈,23S, 68.8 , 2 , 7.0 , 6.43 , 2.00 , 31.3 , 68.8 , 1 , 15 , 6.7 , 0 , 0 ,  , 1 , 50.0 , 0 ,  , 6 , 20.7 
152,수아레즈,23삼, 68.6 , 19 , 108.0 , 3.92 , 1.49 , 28.8 , 68.6 , 10 , 119 , 8.4 , 6 , 1 , 85.7 , 24 , 72.7 , 8 , 61.5 , 56 , 26.9 
153,박종훈,23S, 68.4 , 18 , 80.0 , 6.19 , 1.71 , 35.3 , 68.4 , 9 , 84 , 10.7 , 3 , 7 , 30.0 , 13 , 65.0 , 9 , 50.0 , 49 , 31.0 
154,김시훈,23N, 68.3 , 61 , 52.2 , 4.44 , 1.73 , 28.3 , 68.3 , 6 , 64 , 9.4 , 4 , 1 , 80.0 , 13 , 72.2 , 4 , 50.0 , 29 , 26.6 
155,파노니,23K, 68.2 , 16 , 82.1 , 4.26 , 1.32 , 35.1 , 68.2 , 4 , 59 , 6.8 , 4 , 3 , 57.1 , 9 , 52.9 , 4 , 80.0 , 23 , 19.8 
156,양현,23키, 68.0 , 54 , 57.0 , 5.05 , 1.83 , 30.8 , 68.0 , 11 , 66 , 16.7 , 3 , 1 , 75.0 , 15 , 71.4 , 3 , 50.0 , 35 , 26.5 
157,송명기,23N, 67.9 , 35 , 104.1 , 4.92 , 1.47 , 34.8 , 67.9 , 4 , 105 , 3.8 , 6 , 1 , 85.7 , 15 , 65.2 , 8 , 50.0 , 40 , 22.1 
158,이용준,23N, 67.7 , 24 , 67.0 , 4.30 , 1.55 , 30.2 , 67.7 , 7 , 65 , 10.8 , 2 , 5 , 28.6 , 13 , 68.4 , 7 , 70.0 , 31 , 27.2 
159,신민혁,23N, 67.5 , 29 , 122.0 , 3.98 , 1.21 , 35.3 , 67.5 , 7 , 94 , 7.5 , 5 , 5 , 50.0 , 18 , 62.1 , 8 , 57.1 , 31 , 18.3 
160,이재학,23N, 67.4 , 15 , 67.1 , 4.54 , 1.31 , 36.6 , 67.4 , 1 , 57 , 1.8 , 5 , 1 , 83.3 , 14 , 77.8 , 7 , 77.8 , 20 , 22.2 
161,장민재,23한, 67.3 , 25 , 69.0 , 4.83 , 1.46 , 34.9 , 67.3 , 2 , 49 , 4.1 , 4 , 1 , 80.0 , 16 , 72.7 , 5 , 71.4 , 29 , 29.3 
162,김강률,23두, 67.3 , 32 , 25.2 , 4.21 , 1.36 , 32.4 , 67.3 , 1 , 25 , 4.0 , 1 , 1 , 50.0 , 6 , 75.0 , 3 , 75.0 , 9 , 18.8 
163,김대유,23K, 67.2 , 41 , 24.2 , 5.11 , 1.38 , 35.0 , 67.2 , 2 , 25 , 8.0 , 2 , 1 , 66.7 , 8 , 72.7 , 2 , 66.7 , 14 , 28.6 
164,박명근,23L, 67.2 , 57 , 51.1 , 5.08 , 1.50 , 34.9 , 67.2 , 5 , 59 , 8.5 , 1 , 0 , 100.0 , 13 , 72.2 , 7 , 63.6 , 20 , 20.8 
165,김기훈,23K, 67.2 , 29 , 31.1 , 4.60 , 2.07 , 23.9 , 67.2 , 2 , 37 , 5.4 , 0 , 2 , 0.0 , 6 , 60.0 , 2 , 50.0 , 10 , 16.4 
166,슐서,23K, 67.0 , 9 , 49.2 , 5.62 , 1.61 , 38.8 , 67.0 , 4 , 54 , 7.4 , 6 , 0 , 100.0 , 11 , 84.6 , 2 , 66.7 , 18 , 20.9 
167,한현희,23롯, 67.0 , 38 , 104.0 , 5.45 , 1.61 , 35.4 , 67.0 , 7 , 102 , 6.9 , 2 , 3 , 40.0 , 16 , 61.5 , 17 , 68.0 , 49 , 25.0 
168,정우람,23한, 66.9 , 52 , 40.1 , 5.36 , 1.54 , 37.5 , 66.9 , 1 , 39 , 2.6 , 0 , 1 , 0.0 , 5 , 83.3 , 5 , 50.0 , 13 , 21.0 
169,이정용,23L, 66.7 , 37 , 86.2 , 4.15 , 1.37 , 33.1 , 66.7 , 5 , 85 , 5.9 , 5 , 7 , 41.7 , 17 , 85.0 , 3 , 23.1 , 42 , 26.9 
,한두솔,23S, 66.7 , 1 , 1.0 , 9.00 , 2.00 , 33.3 , 66.7 , 0 , 1 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
,성동현,23L, 66.7 , 1 , 1.0 , 9.00 , 3.00 , 33.3 , 66.7 , 0 , 2 , 0.0 , 0 , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 25.0 
,임지민,23N, 66.7 , 2 , 1.1 , 13.50 , 4.50 , 33.3 , 66.7 , 0 , 1 , 0.0 , 0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 
173,이로운,23S, 66.5 , 50 , 57.2 , 5.62 , 1.67 , 37.1 , 66.5 , 1 , 60 , 1.7 , 3 , 1 , 75.0 , 15 , 71.4 , 4 , 40.0 , 23 , 20.9 
