순,이름,팀/포지션,정렬용,출장,이닝,선발RAA,구원RAA,종합RAA,대체RUN선발,대체RUN구원,대체RUN종합,선발RAR,구원RAR,종합RAR,선발WAA,구원WAA,종합WAA,선발WAR,구원WAR,종합WAR,fWAR,RA9-WAR
71,장시환,23한, 1.00 , 39 , 34.2 ,  , 5.47 , 5.47 , 0.00 , 4.47 , 6.31 ,  , 12.50 , 12.50 , 0.00 , 0.53 , 0.53 , 0.00 , 1.00 , 1.00 , 1.00 , 1.00 
72,고우석,23L, 0.98 , 44 , 44.0 ,  , 3.28 , 3.28 , 0.00 , 5.70 , 11.18 ,  , 16.33 , 16.33 , 0.00 , 0.40 , 0.40 , 0.00 , 0.98 , 0.98 , 0.98 , 0.98 
73,이준영,23K, 0.97 , 64 , 33.2 ,  , 5.58 , 5.58 , 0.00 , 4.36 , 5.89 ,  , 11.91 , 11.91 , 0.00 , 0.52 , 0.52 , 0.00 , 0.97 , 0.97 , 0.97 , 0.97 
74,최민준,23S, 0.96 , 53 , 60.0 ,  , 2.95 , 2.95 , 0.00 , 7.78 , 10.92 ,  , 14.23 , 14.23 , 0.00 , 0.16 , 0.16 , 0.00 , 0.96 , 0.96 , 0.96 , 0.96 
75,이건욱,23S, 0.93 , 27 , 38.2 , -0.91 , 8.80 , 7.89 , 0.56 , 4.40 , 4.32 , -0.21 , 9.43 , 9.22 , -0.09 , 0.50 , 0.41 , -0.04 , 0.97 , 0.93 , 0.93 , 0.93 
76,구승민,23롯, 0.86 , 67 , 63.2 ,  , 1.46 , 1.46 , 0.00 , 8.28 , 14.22 ,  , 16.22 , 16.22 , 0.00 , 0.01 , 0.01 , 0.00 , 0.86 , 0.86 , 0.86 , 0.86 
77,파노니,23K, 0.84 , 16 , 82.1 , -2.49 , 1.01 , -1.48 , 10.60 , 0.24 , 13.48 , 10.76 , 0.96 , 11.72 , -0.33 , 0.08 , -0.26 , 0.74 , 0.10 , 0.84 , 0.84 , 0.84 
78,이정용,23L, 0.81 , 37 , 86.2 , -0.09 , -1.60 , -1.69 , 7.91 , 3.41 , 14.94 , 9.80 , 3.15 , 12.95 , -0.07 , -0.27 , -0.34 , 0.74 , 0.08 , 0.81 , 0.81 , 0.81 
79,스트레일리,23롯, 0.81 , 16 , 80.1 , -1.78 ,  , -1.78 , 10.56 , 0.00 , 13.20 , 11.42 ,  , 11.42 , -0.26 ,  , -0.26 , 0.81 ,  , 0.81 , 0.81 , 0.81 
80,심재민,23K롯, 0.80 , 33 , 47.2 , 2.89 , -0.56 , 2.33 , 3.34 , 2.74 , 7.08 , 7.07 , 2.43 , 9.50 , 0.28 , -0.11 , 0.17 , 0.63 , 0.17 , 0.80 , 0.80 , 0.80 
81,이우찬,23L, 0.80 , 38 , 38.1 ,  , 4.96 , 4.96 , 0.00 , 4.94 , 4.90 ,  , 8.83 , 8.83 , 0.00 , 0.29 , 0.29 , 0.00 , 0.80 , 0.80 , 0.80 , 0.80 
82,김범수,23한, 0.77 , 76 , 62.1 ,  , 0.88 , 0.88 , 0.00 , 8.12 , 13.73 ,  , 14.92 , 14.92 , 0.00 , -0.06 , -0.06 , 0.00 , 0.77 , 0.77 , 0.77 , 0.77 
83,이재익,23삼, 0.77 , 51 , 41.0 ,  , 3.46 , 3.46 , 0.00 , 5.31 , 6.40 ,  , 9.73 , 9.73 , 0.00 , 0.22 , 0.22 , 0.00 , 0.77 , 0.77 , 0.77 , 0.77 
84,주권,23K, 0.75 , 42 , 47.0 , -4.49 , 7.83 , 3.35 , 0.92 , 5.22 , 6.45 , -3.34 , 11.66 , 8.33 , -0.42 , 0.54 , 0.12 , -0.33 , 1.08 , 0.75 , 0.75 , 0.75 
85,최동환,23L, 0.74 , 45 , 42.1 ,  , 3.46 , 3.46 , 0.00 , 5.48 , 5.74 ,  , 8.64 , 8.64 , 0.00 , 0.17 , 0.17 , 0.00 , 0.74 , 0.74 , 0.74 , 0.74 
86,이상동,23K, 0.72 , 36 , 40.2 ,  , 3.43 , 3.43 , 0.00 , 5.26 , 5.61 ,  , 8.53 , 8.53 , 0.00 , 0.18 , 0.18 , 0.00 , 0.72 , 0.72 , 0.72 , 0.72 
87,최성영,23N, 0.68 , 18 , 66.2 , -3.94 , 2.54 , -1.40 , 7.07 , 1.71 , 11.03 , 4.90 , 4.80 , 9.70 , -0.45 , 0.24 , -0.21 , 0.26 , 0.42 , 0.68 , 0.68 , 0.68 
88,이재학,23N, 0.67 , 15 , 67.1 , -3.25 , 1.59 , -1.66 , 8.55 , 0.37 , 11.15 , 7.43 , 2.08 , 9.52 , -0.39 , 0.17 , -0.22 , 0.47 , 0.21 , 0.67 , 0.67 , 0.67 
89,정찬헌,23키, 0.67 , 14 , 72.0 , -2.12 ,  , -2.12 , 9.49 , 0.00 , 11.87 , 9.75 ,  , 9.75 , -0.29 ,  , -0.29 , 0.67 ,  , 0.67 , 0.67 , 0.67 
90,최원준,23두, 0.64 , 26 , 107.2 , -9.92 , 3.42 , -6.50 , 13.17 , 1.29 , 17.84 , 6.54 , 4.30 , 10.84 , -1.08 , 0.28 , -0.79 , 0.22 , 0.42 , 0.64 , 0.64 , 0.64 
91,앤더슨,23K, 0.63 , 14 , 79.0 , -3.39 ,  , -3.39 , 10.49 , 0.00 , 13.11 , 9.72 ,  , 9.72 , -0.42 ,  , -0.42 , 0.63 ,  , 0.63 , 0.63 , 0.63 
92,김진호,23N, 0.60 , 19 , 16.1 ,  , 3.45 , 3.45 , 0.00 , 2.10 , 3.14 ,  , 7.26 , 7.26 , 0.00 , 0.38 , 0.38 , 0.00 , 0.60 , 0.60 , 0.60 , 0.60 
93,하준영,23N, 0.59 , 57 , 49.0 ,  , 0.94 , 0.94 , 0.00 , 6.38 , 6.78 ,  , 7.58 , 7.58 , 0.00 , -0.07 , -0.07 , 0.00 , 0.59 , 0.59 , 0.59 , 0.59 
94,김규연,23한, 0.54 , 23 , 19.2 ,  , 3.88 , 3.88 , 0.00 , 2.53 , 2.67 ,  , 5.94 , 5.94 , 0.00 , 0.28 , 0.28 , 0.00 , 0.54 , 0.54 , 0.54 , 0.54 
95,이호성,23삼, 0.53 , 5 , 17.0 , 1.96 , 1.63 , 3.58 , 1.20 , 0.87 , 2.26 , 3.46 , 1.88 , 5.34 , 0.21 , 0.10 , 0.30 , 0.34 , 0.19 , 0.53 , 0.53 , 0.53 
96,장현식,23K, 0.52 , 56 , 51.0 ,  , -0.08 , -0.08 , 0.00 , 6.65 , 7.76 ,  , 7.68 , 7.68 , 0.00 , -0.16 , -0.16 , 0.00 , 0.52 , 0.52 , 0.52 , 0.52 
97,김대우,23삼, 0.50 , 44 , 64.0 , -1.85 , -0.25 , -2.10 , 2.81 , 5.61 , 9.87 , 1.67 , 6.12 , 7.79 , -0.21 , -0.15 , -0.36 , 0.07 , 0.42 , 0.50 , 0.50 , 0.50 
98,요키시,23키, 0.47 , 12 , 65.2 , -3.42 ,  , -3.42 , 8.75 , 0.00 , 10.93 , 7.51 ,  , 7.51 , -0.41 ,  , -0.41 , 0.47 ,  , 0.47 , 0.47 , 0.47 
99,조민석,23N, 0.44 , 35 , 31.0 ,  , 1.41 , 1.41 , 0.00 , 4.03 , 4.06 ,  , 5.19 , 5.19 , 0.00 , 0.02 , 0.02 , 0.00 , 0.44 , 0.44 , 0.44 , 0.44 
100,고효준,23S, 0.43 , 73 , 58.0 ,  , -1.51 , -1.51 , 0.00 , 7.57 , 10.26 ,  , 8.62 , 8.62 , 0.00 , -0.34 , -0.34 , 0.00 , 0.43 , 0.43 , 0.43 , 0.43 
101,신정락,23롯, 0.43 , 34 , 29.0 ,  , 1.29 , 1.29 , 0.00 , 3.77 , 4.71 ,  , 5.99 , 5.99 , 0.00 , 0.04 , 0.04 , 0.00 , 0.43 , 0.43 , 0.43 , 0.43 
102,윤중현,23K, 0.42 , 31 , 28.0 ,  , 1.49 , 1.49 , 0.00 , 3.64 , 3.95 ,  , 5.24 , 5.24 , 0.00 , 0.05 , 0.05 , 0.00 , 0.42 , 0.42 , 0.42 , 0.42 
103,조영건,23키, 0.40 , 6 , 7.2 ,  , 4.16 , 4.16 , 0.00 , 0.94 , 0.85 ,  , 3.82 , 3.82 , 0.00 , 0.30 , 0.30 , 0.00 , 0.40 , 0.40 , 0.40 , 0.40 
104,박상원,23한, 0.37 , 55 , 61.2 ,  , -1.77 , -1.77 , 0.00 , 8.06 , 15.05 ,  , 12.40 , 12.40 , 0.00 , -0.45 , -0.45 , 0.00 , 0.37 , 0.37 , 0.37 , 0.37 
105,우규민,23삼, 0.34 , 56 , 43.0 ,  , -0.96 , -0.96 , 0.00 , 5.61 , 7.62 ,  , 6.58 , 6.58 , 0.00 , -0.23 , -0.23 , 0.00 , 0.34 , 0.34 , 0.34 , 0.34 
106,김도규,23롯, 0.32 , 36 , 29.2 ,  , 0.10 , 0.10 , 0.00 , 3.87 , 4.65 ,  , 4.75 , 4.75 , 0.00 , -0.08 , -0.08 , 0.00 , 0.32 , 0.32 , 0.32 , 0.32 
107,송명기,23N, 0.30 , 35 , 104.1 , -8.68 , -1.19 , -9.87 , 11.15 , 2.88 , 16.71 , 5.26 , 1.85 , 7.11 , -0.94 , -0.16 , -1.10 , 0.16 , 0.13 , 0.30 , 0.30 , 0.30 
108,박민호,23S, 0.29 , 10 , 10.0 ,  , 2.43 , 2.43 , 0.00 , 1.28 , 1.15 ,  , 2.90 , 2.90 , 0.00 , 0.15 , 0.15 , 0.00 , 0.29 , 0.29 , 0.29 , 0.29 
109,김기중,23한, 0.28 , 37 , 56.1 , 0.39 , -4.77 , -4.39 , 3.50 , 3.87 , 8.37 , 4.76 , 0.05 , 4.81 , 0.01 , -0.49 , -0.47 , 0.37 , -0.09 , 0.28 , 0.28 , 0.28 
