순,이름,팀/포지션,정렬용,출장,이닝,타자,투구,P/PA,S루킹,S헛스윙,S파울,S타격,투구비율S%,투구비율B%,배트적극성전체%,배트적극성초구%,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스N,배팅찬스스윙,배팅찬스W%
230,이준영,23K, 4.16 , 64 , 33.2 , 149 , 620 , 4.16 , 31.2 , 17.9 , 25.9 , 25.1 , 60.5 , 39.5 , 41.6 , 16.8 , 26.0 , 12.7 , 74.1 , 32.2 , 23 , 7 , 23.3 , 241 , 17 , 7.1 
231,김동주,23두, 4.16 , 18 , 78.1 , 334 , 1390 , 4.16 , 28.4 , 15.3 , 29.0 , 27.4 , 62.1 , 37.9 , 44.5 , 25.5 , 21.4 , 11.4 , 77.0 , 37.2 , 51 , 8 , 13.6 , 332 , 26 , 7.8 
232,김대유,23K, 4.16 , 41 , 24.2 , 110 , 458 , 4.16 , 32.8 , 14.7 , 26.6 , 25.9 , 64.0 , 36.0 , 43.0 , 18.2 , 21.8 , 11.3 , 79.6 , 32.7 , 17 , 3 , 15.0 , 119 , 8 , 6.7 
233,김서현,23한, 4.18 , 20 , 22.1 , 114 , 476 , 4.18 , 33.9 , 19.6 , 24.2 , 22.3 , 54.6 , 45.4 , 36.1 , 14.9 , 29.7 , 12.2 , 67.1 , 38.8 , 24 , 2 , 7.7 , 188 , 10 , 5.3 
234,최영환,23롯, 4.19 , 8 , 10.0 , 54 , 226 , 4.19 , 25.9 , 10.1 , 36.0 , 28.1 , 61.5 , 38.5 , 45.6 , 31.5 , 13.6 , 7.5 , 84.4 , 32.8 , 4 , 3 , 42.9 , 55 , 4 , 7.3 
235,정우람,23한, 4.19 , 52 , 40.1 , 183 , 766 , 4.19 , 26.9 , 12.1 , 33.1 , 27.9 , 62.7 , 37.3 , 45.8 , 33.3 , 16.5 , 9.2 , 81.4 , 34.3 , 22 , 8 , 26.7 , 195 , 19 , 9.7 
236,이민우,23한, 4.19 , 17 , 13.2 , 57 , 239 , 4.19 , 29.7 , 13.8 , 29.0 , 27.6 , 60.7 , 39.3 , 42.7 , 22.8 , 19.6 , 10.1 , 74.4 , 40.3 , 9 , 2 , 18.2 , 61 , 3 , 4.9 
237,이용준,23N, 4.20 , 24 , 67.0 , 304 , 1278 , 4.20 , 28.4 , 13.1 , 30.7 , 27.8 , 58.5 , 41.6 , 41.9 , 25.0 , 18.3 , 9.2 , 77.4 , 39.4 , 39 , 11 , 22.0 , 484 , 34 , 7.0 
238,고우석,23L, 4.21 , 44 , 44.0 , 190 , 799 , 4.21 , 22.9 , 24.3 , 31.4 , 21.4 , 61.3 , 38.7 , 47.3 , 30.5 , 31.5 , 17.2 , 63.5 , 32.3 , 51 , 8 , 13.6 , 243 , 15 , 6.2 
239,정성곤,23S, 4.21 , 6 , 4.1 , 29 , 122 , 4.21 , 26.5 , 22.1 , 23.5 , 27.9 , 55.7 , 44.3 , 41.0 , 24.1 , 30.0 , 14.6 , 83.3 , 53.9 , 2 , 1 , 33.3 , 23 , 5 , 21.7 
